time,wind,solar,electric,heat,cold
2023/1/12 16:00,633.1190603,16.86,1368.901159,474.4183549,367.9480833
2023/1/12 17:00,445.4111741,0.0,1376.320677,486.0367636,344.3560167
2023/1/12 18:00,6.1e-09,0.0,1393.014594,515.5668857,311.93945
2023/1/12 19:00,206.8953565,0.0,1380.030436,549.9380114,293.4751333
2023/1/12 20:00,137.3020094,0.0,1289.141335,598.3480476,276.20155
2023/1/12 21:00,360.6374394,0.0,1181.558317,622.5530657,250.6211
2023/1/12 22:00,362.6409807,0.0,1183.413197,649.1785856,210.6635167
2023/1/12 23:00,106.2471188,0.0,1211.236391,659.3446932,194.1540167
2023/1/13 0:00,681.2040522,0.0,1222.365669,660.3128939,185.3728
2023/1/13 1:00,351.6215034,0.0,1150.025364,664.1856968,184.2023833
2023/1/13 2:00,455.8056526,0.0,1125.911928,691.2953171,186.5441
2023/1/13 3:00,452.8003406,0.0,1157.444882,694.6840197,184.4011333
2023/1/13 4:00,233.9431644,0.0,1144.460725,728.0869446,192.9800667
2023/1/13 5:00,444.7861752,0.0,1237.204706,772.624178,232.8484333
2023/1/13 6:00,6.29e-09,0.0,1318.819409,793.4404935,237.67055
2023/1/13 7:00,626.1066656,101.16,1339.223085,836.5254258,237.89315
2023/1/13 8:00,231.7187067,283.248,1365.191399,844.7551319,247.3421667
2023/1/13 9:00,264.4219153,445.104,1393.014594,801.1860993,258.2592833
2023/1/13 10:00,264.8983257,593.472,1361.48164,693.2317186,275.2705167
2023/1/13 11:00,1.95e-09,618.2,1342.932844,585.2773378,320.0281333
2023/1/13 12:00,434.7684686,672.152,1400.434112,492.8141686,370.2315
2023/1/13 13:00,6.76e-09,238.288,1359.62676,444.8882328,407.7131
2023/1/13 14:00,187.3905427,180.964,1339.223085,454.57024,455.3795333
2023/1/13 15:00,294.0494043,91.044,1331.803566,468.6091505,465.2587333
2023/1/13 16:00,274.1969111,23.604,1431.967066,457.4748422,468.58625
2023/1/13 17:00,492.8711672,0.0,1385.595075,456.5066415,441.2532667
2023/1/13 18:00,416.1071612,0.0,1437.531704,514.1145846,385.29145
2023/1/13 19:00,126.2825321,0.0,1391.159714,560.104119,349.1048167
2023/1/13 20:00,285.0334683,0.0,1333.658446,607.5459545,322.93695
2023/1/13 21:00,659.1650975,0.0,1239.059585,665.6379979,284.9651
2023/1/13 22:00,449.7950286,0.0,1187.122956,654.5036896,260.6752
2023/1/13 23:00,214.9095218,0.0,1253.898622,637.0760766,209.5681833
2023/1/14 0:00,358.6338981,0.0,1233.494946,622.0689653,191.53405
2023/1/14 1:00,381.6746233,0.0,1220.510789,622.0689653,184.9647
2023/1/14 2:00,261.992743,0.0,1144.460725,636.5919762,181.2962167
2023/1/14 3:00,810.4324679,0.0,1164.8644,640.9488795,190.18255
2023/1/14 4:00,644.1385376,0.0,1164.8644,673.3836037,194.9605
2023/1/14 5:00,7.02e-09,0.0,1255.753502,696.1363207,238.8559833
2023/1/14 6:00,160.3427347,0.0,1337.368205,728.571045,246.6204833
2023/1/14 7:00,352.6232741,104.532,1359.62676,763.4262711,242.1137167
2023/1/14 8:00,290.0423217,307.976,1354.062122,805.5430026,252.1651667
2023/1/14 9:00,249.513129,485.568,1370.756038,756.648866,253.5820333
2023/1/14 10:00,3.1e-10,605.836,1348.497483,664.6697972,292.27645
2023/1/14 11:00,6.75e-09,654.168,1344.787723,597.3798469,359.8753
2023/1/14 12:00,407.7206606,644.052,1359.62676,491.8459679,418.3572667
2023/1/14 13:00,7.82e-09,563.124,1355.917001,448.2769353,459.8907167
2023/1/14 14:00,204.4984569,420.376,1324.384048,455.5384408,490.21555
2023/1/14 15:00,2.35e-09,227.048,1361.48164,433.2698241,515.9002333
2023/1/14 16:00,205.6388585,38.216,1370.756038,432.3016234,504.3692
2023/1/14 17:00,396.1857462,0.0,1396.724353,426.9765194,462.9497
2023/1/14 18:00,238.7185487,0.0,1433.821945,532.9944987,416.8617833
2023/1/14 19:00,225.9289991,0.0,1378.175557,523.7965918,387.6481833
